BinCenter (ps);Histo01;Histo02;Histo03;Histo04
264.5;0;0;27;24
265.5;0;0;32;23
266.5;0;0;35;35
267.5;0;0;26;37
268.5;0;0;29;24
269.5;0;0;21;28
270.5;0;0;38;28
271.5;0;0;34;29
272.5;0;0;25;27
273.5;0;0;34;33
274.5;0;0;30;28
275.5;0;0;29;44
276.5;0;0;38;33
277.5;0;0;21;29
278.5;0;0;27;22
279.5;0;1;28;31
280.5;0;0;23;32
281.5;0;0;19;41
282.5;0;0;27;30
283.5;0;0;32;30
284.5;0;0;25;30
285.5;0;0;32;45
286.5;0;0;30;18
287.5;0;0;28;29
288.5;0;0;31;31
289.5;0;0;27;48
290.5;0;0;18;26
291.5;0;0;25;40
292.5;0;0;26;34
293.5;0;0;40;19
294.5;0;0;26;28
295.5;0;0;34;43
296.5;0;0;32;26
297.5;0;0;30;31
298.5;0;0;26;33
299.5;0;0;29;25
300.5;0;0;26;25
301.5;0;0;34;40
302.5;0;0;38;31
303.5;0;0;44;36
304.5;0;0;27;18
305.5;0;0;38;32
306.5;0;0;33;28
307.5;0;0;28;33
308.5;0;0;33;22
309.5;0;0;32;26
310.5;0;0;27;32
311.5;0;0;28;31
312.5;0;0;25;40
313.5;0;0;19;34
314.5;0;0;32;32
315.5;0;0;37;21
316.5;0;0;31;30
317.5;0;0;42;21
318.5;0;0;32;30
319.5;0;0;34;35
320.5;0;0;29;20
321.5;0;0;23;31
322.5;0;0;43;24
323.5;0;0;40;29
324.5;0;0;28;27
325.5;0;0;24;39
326.5;0;0;30;23
327.5;0;0;27;28
328.5;0;0;30;24
329.5;0;0;19;22
330.5;0;0;26;39
331.5;0;0;31;24
332.5;0;0;26;25
333.5;0;0;32;23
334.5;0;0;34;24
335.5;0;0;22;36
336.5;0;0;29;32
337.5;0;0;30;30
338.5;0;0;28;31
339.5;0;0;30;27
340.5;0;0;31;30
341.5;0;0;38;25
342.5;0;0;28;29
343.5;0;0;25;22
344.5;0;0;22;31
345.5;0;0;24;31
346.5;0;0;34;28
347.5;0;0;24;24
348.5;0;0;24;26
349.5;0;0;35;23
350.5;0;0;32;30
351.5;0;0;37;32
352.5;0;0;21;26
353.5;0;0;30;31
354.5;0;0;37;28
355.5;0;0;27;28
356.5;0;0;40;28
357.5;0;0;21;28
358.5;0;0;34;34
359.5;0;0;30;30
360.5;0;0;30;28
361.5;0;0;28;33
362.5;0;0;28;24
363.5;0;0;24;28
364.5;0;0;24;20
365.5;0;0;31;22
366.5;0;0;22;32
367.5;0;0;30;30
368.5;0;0;34;24
369.5;0;0;27;26
370.5;0;0;25;35
371.5;0;0;28;30
372.5;0;0;35;17
373.5;0;0;29;27
374.5;0;0;26;46
375.5;0;0;24;23
376.5;0;0;34;24
377.5;0;0;31;17
378.5;0;0;25;32
379.5;0;0;21;34
380.5;0;0;27;24
381.5;0;0;38;17
382.5;0;0;31;33
383.5;0;0;29;31
384.5;0;0;35;34
385.5;0;0;25;30
386.5;0;0;24;36
387.5;0;0;31;27
388.5;0;0;31;27
389.5;0;0;21;43
390.5;0;0;25;21
391.5;0;0;33;30
392.5;0;0;35;39
393.5;0;0;22;28
394.5;0;0;19;32
395.5;0;0;28;30
396.5;0;0;19;20
397.5;0;0;30;39
398.5;0;0;17;32
399.5;0;0;21;24
400.5;0;0;22;26
401.5;0;0;24;29
402.5;0;0;22;22
403.5;0;0;21;18
404.5;0;0;36;32
405.5;0;0;14;24
406.5;0;0;36;32
407.5;0;0;30;18
408.5;0;0;28;27
409.5;0;0;32;26
410.5;0;0;27;30
411.5;0;0;28;27
412.5;0;0;30;32
413.5;0;0;34;25
414.5;0;0;31;22
415.5;0;0;30;29
416.5;0;0;30;30
417.5;0;0;22;23
418.5;0;0;29;32
419.5;0;0;31;27
420.5;0;0;30;42
421.5;0;0;27;27
422.5;0;0;39;29
423.5;0;0;27;23
424.5;0;0;35;35
425.5;0;0;29;32
426.5;0;0;36;20
427.5;0;0;40;34
428.5;0;0;30;34
429.5;0;0;36;27
430.5;0;1;27;28
431.5;0;0;24;36
432.5;0;0;24;27
433.5;0;0;32;23
434.5;0;0;31;31
435.5;0;0;38;34
436.5;0;0;20;25
437.5;0;0;30;43
438.5;0;0;29;29
439.5;0;0;35;17
440.5;0;0;26;25
441.5;0;0;20;26
442.5;0;0;26;28
443.5;0;0;34;29
444.5;0;0;27;24
445.5;0;0;29;32
446.5;0;0;24;21
447.5;0;0;22;38
448.5;0;0;29;26
449.5;0;0;35;32
450.5;0;0;30;24
451.5;0;0;22;29
452.5;0;0;31;27
453.5;0;0;24;30
454.5;0;0;26;41
455.5;0;0;34;36
456.5;0;0;29;34
457.5;0;0;28;30
458.5;0;0;31;27
459.5;0;0;36;38
460.5;0;0;19;30
461.5;0;0;27;33
462.5;0;0;31;35
463.5;0;0;36;28
464.5;0;0;29;18
465.5;0;0;23;31
466.5;0;0;26;21
467.5;0;0;23;21
468.5;0;0;33;18
469.5;0;0;24;30
470.5;0;0;26;24
471.5;0;0;31;29
472.5;0;0;26;30
473.5;0;0;29;19
474.5;0;0;25;34
475.5;0;0;26;21
476.5;0;0;32;13
477.5;0;0;26;31
478.5;0;0;25;39
479.5;0;0;30;28
480.5;0;0;29;32
481.5;0;0;36;25
