BinCenter (ps);Histo01;Histo02;Histo03;Histo04
28850;0;0;501;533
28950;0;0;531;528
29050;0;0;543;536
29150;0;0;519;542
29250;0;0;490;525
29350;0;0;514;514
29450;0;0;504;491
29550;0;0;496;509
29650;0;0;560;518
29750;0;0;529;497
29850;0;0;518;525
29950;0;0;523;510
30050;0;0;498;549
30150;0;0;535;523
30250;0;0;515;490
30350;0;0;516;534
30450;0;0;510;523
30550;0;0;515;482
30650;0;0;539;495
30750;0;0;518;524
30850;0;0;522;515
30950;0;0;456;503
31050;0;0;561;506
31150;0;0;487;528
31250;0;0;492;503
31350;0;0;546;539
31450;0;0;511;513
31550;0;0;489;505
31650;0;0;529;571
31750;0;0;498;499
31850;0;0;514;519
31950;0;0;502;523
32050;0;0;530;502
32150;0;0;519;511
32250;0;0;491;533
32350;0;0;527;535
32450;0;0;517;520
32550;0;0;488;533
32650;0;0;510;546
32750;0;0;535;485
32850;0;0;470;518
32950;0;0;516;500
33050;0;0;494;498
33150;0;0;518;497
33250;0;0;525;468
33350;0;0;540;489
33450;0;0;514;526
33550;0;0;471;502
33650;0;0;490;552
33750;0;0;510;481
33850;0;0;493;538
33950;0;0;551;501
34050;0;0;501;554
34150;0;0;487;474
34250;0;0;550;495
34350;0;0;499;503
34450;0;0;499;493
34550;0;0;493;506
34650;0;0;475;521
34750;0;0;518;490
34850;0;0;501;526
34950;0;0;503;480
35050;0;0;488;498
35150;0;0;520;504
35250;0;0;480;518
35350;0;0;442;479
35450;0;0;495;515
35550;0;0;536;537
35650;0;0;452;513
35750;0;0;504;490
35850;0;0;510;471
35950;0;0;527;431
36050;0;0;489;530
36150;0;0;528;461
36250;0;0;489;456
36350;0;0;537;512
36450;0;0;490;481
36550;0;0;484;479
36650;0;0;497;479
36750;0;0;512;520
36850;0;0;520;476
36950;0;0;499;518
37050;0;0;484;486
37150;0;0;536;513
37250;0;0;494;539
37350;0;0;488;509
37450;0;0;494;520
37550;0;0;503;524
37650;0;0;516;503
37750;0;0;494;471
37850;0;0;488;493
37950;0;0;470;519
38050;0;0;465;504
38150;0;0;471;513
38250;0;0;469;484
38350;0;0;503;483
38450;0;0;492;494
38550;0;0;462;447
38650;0;0;479;491
38750;0;0;476;481
38850;0;0;487;465
38950;0;0;464;482
39050;0;0;474;472
39150;0;0;505;511
39250;0;0;516;486
39350;0;0;493;488
39450;0;0;456;466
39550;0;0;465;483
39650;0;0;468;486
39750;0;0;492;460
39850;0;0;511;497
39950;0;0;477;488
40050;0;0;492;489
40150;0;0;446;483
40250;0;0;479;473
40350;0;0;523;461
40450;0;0;437;457
40550;0;0;540;485
40650;0;0;474;522
40750;0;0;508;503
40850;0;0;528;513
40950;0;0;482;481
41050;0;0;493;509
41150;0;0;440;511
41250;0;0;487;452
41350;0;0;508;492
41450;0;0;471;458
41550;0;0;508;487
41650;0;0;477;479
41750;0;0;476;444
41850;0;0;454;485
41950;0;0;467;472
42050;0;0;497;479
42150;0;0;523;494
42250;0;0;497;486
42350;0;0;505;467
42450;0;0;462;500
42550;0;0;466;459
42650;0;0;416;517
42750;0;0;446;458
42850;0;0;458;481
42950;0;0;467;468
43050;0;0;522;496
43150;0;0;472;489
43250;0;0;465;476
43350;0;0;505;455
43450;0;0;468;462
43550;0;0;479;459
43650;0;0;480;462
43750;0;0;492;478
43850;0;0;454;466
43950;0;0;480;406
44050;0;0;451;468
44150;0;0;492;507
44250;0;0;449;492
44350;0;0;493;475
44450;0;0;529;466
44550;0;0;467;440
44650;0;0;488;521
44750;0;0;529;475
44850;0;0;440;493
44950;0;0;493;484
45050;0;0;441;480
45150;0;0;480;471
45250;0;0;452;461
45350;0;0;454;462
45450;0;0;483;442
45550;0;0;440;465
45650;0;0;473;500
45750;0;0;482;463
45850;0;0;433;479
45950;0;0;470;462
46050;0;0;483;435
46150;0;0;446;475
46250;0;0;432;479
46350;0;0;507;463
46450;0;0;504;464
46550;0;0;495;475
46650;0;0;470;471
46750;0;0;479;432
46850;0;0;439;502
46950;0;0;476;449
47050;0;0;463;439
47150;0;0;478;437
47250;0;0;458;452
47350;0;0;453;455
47450;0;0;433;468
47550;0;0;477;455
47650;0;0;467;455
47750;0;0;508;466
47850;0;0;448;468
47950;0;0;428;439
48050;0;0;468;459
48150;0;0;472;496
48250;0;0;530;490
48350;0;0;453;441
48450;0;0;465;473
48550;0;0;420;424
48650;0;0;452;501
48750;0;0;462;460
48850;0;0;446;477
48950;0;0;420;434
49050;0;0;476;507
49150;0;0;484;470
49250;0;0;466;455
49350;0;0;436;502
49450;0;0;461;471
49550;0;0;472;457
49650;0;0;434;467
49750;0;0;451;416
49850;0;0;434;437
49950;0;0;266;267
