BinCenter (ps);Histo01;Histo02;Histo03;Histo04
50;0;0;72;67
150;0;0;63;73
250;0;0;67;46
350;0;0;67;54
450;0;0;67;61
550;0;0;60;63
650;0;0;80;59
750;0;0;68;65
850;0;0;61;68
950;0;0;77;55
1050;0;0;65;61
1150;0;0;65;70
1250;0;0;81;63
1350;0;0;69;51
1450;0;0;69;57
1550;0;0;69;74
1650;0;0;56;54
1750;0;0;62;69
1850;0;0;66;77
1950;0;0;71;131
2050;0;0;133;221
2150;0;0;217;124
2250;0;0;113;110
2350;0;0;131;113
2450;0;0;133;122
2550;0;0;99;105
2650;0;0;118;117
2750;0;0;123;99
2850;0;0;100;101
2950;0;0;101;86
3050;0;0;118;110
3150;0;0;105;109
3250;0;0;96;117
3350;0;0;115;101
3450;0;0;107;102
3550;0;0;119;99
3650;0;0;123;102
3750;0;0;116;107
3850;0;0;121;98
3950;0;0;111;107
4050;0;0;92;104
4150;0;0;114;104
4250;0;0;92;103
4350;0;0;130;96
4450;0;0;118;94
4550;0;0;81;121
4650;0;0;104;109
4750;0;0;110;104
4850;0;0;102;100
4950;0;0;87;103
5050;0;0;100;76
5150;0;0;99;74
5250;0;0;91;80
5350;0;0;102;88
5450;0;0;89;91
5550;0;0;105;98
5650;0;0;87;102
5750;0;0;71;91
5850;0;0;91;80
5950;0;0;116;95
6050;0;0;87;110
6150;0;0;118;91
6250;0;0;103;76
6350;0;0;100;113
6450;0;0;108;84
6550;0;0;105;95
6650;0;0;86;100
6750;0;0;110;94
6850;0;0;99;109
6950;0;0;96;95
7050;0;0;79;84
7150;0;0;83;95
7250;0;0;87;109
7350;0;0;102;95
7450;0;0;98;105
7550;0;0;103;88
7650;0;0;99;101
7750;0;0;101;97
7850;0;0;93;98
7950;0;0;103;92
8050;0;0;103;93
8150;0;0;103;91
8250;0;0;92;88
8350;0;0;82;88
8450;0;0;88;86
8550;0;0;90;105
8650;0;0;105;85
8750;0;0;94;81
8850;0;0;105;99
8950;0;0;96;76
9050;0;0;84;69
9150;0;0;96;104
9250;0;0;78;101
9350;0;0;100;90
9450;0;0;90;99
9550;0;0;110;90
9650;0;0;100;95
9750;0;0;103;80
9850;0;0;105;98
9950;0;0;96;90
10050;0;0;90;99
10150;0;0;92;69
10250;0;0;106;99
10350;0;0;94;78
10450;0;0;103;95
10550;0;0;99;104
10650;0;0;98;99
10750;0;0;81;67
10850;0;0;91;83
10950;0;0;112;92
11050;0;0;80;76
11150;0;0;92;93
11250;0;0;85;88
11350;0;0;83;86
11450;0;0;97;89
11550;0;0;91;94
11650;0;0;88;77
11750;0;0;96;95
11850;0;0;103;81
11950;0;0;94;83
12050;0;0;100;72
12150;0;0;123;74
12250;0;0;90;94
12350;0;0;97;80
12450;0;0;97;78
12550;0;0;98;86
12650;0;0;104;100
12750;0;0;82;64
12850;0;0;88;74
12950;0;0;97;75
13050;0;0;84;82
13150;0;0;103;89
13250;0;0;79;81
13350;0;0;99;71
13450;0;0;94;106
13550;0;0;102;94
13650;0;0;86;81
13750;0;0;92;87
13850;0;0;85;99
13950;0;0;81;85
14050;0;0;95;94
14150;0;0;78;69
14250;0;0;79;84
14350;0;0;88;91
14450;0;0;80;101
14550;0;0;88;86
14650;0;0;104;87
14750;0;0;98;93
14850;0;0;95;95
14950;0;0;86;84
15050;0;0;90;87
15150;0;0;92;78
15250;0;0;96;83
15350;0;0;88;86
15450;0;0;70;73
15550;0;0;93;87
15650;0;0;79;96
15750;0;0;71;84
15850;0;0;82;89
15950;0;0;98;90
16050;0;0;75;91
16150;0;0;90;93
16250;0;0;92;76
16350;0;0;89;68
16450;0;0;102;92
16550;0;0;77;77
16650;0;0;89;91
16750;0;0;97;81
16850;0;0;87;67
16950;0;0;78;77
17050;0;0;85;74
17150;0;0;83;75
17250;0;0;93;68
17350;0;0;99;84
17450;0;0;92;83
17550;0;0;76;83
17650;0;0;79;78
17750;0;0;90;83
17850;0;0;69;74
17950;0;0;82;86
18050;0;0;81;81
18150;0;0;91;69
18250;0;0;79;76
18350;0;0;101;76
18450;0;0;83;100
18550;0;0;100;82
18650;0;0;102;80
18750;0;0;87;85
18850;0;0;79;75
18950;0;0;79;80
19050;0;0;81;98
19150;0;0;95;70
