TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/14
TIME	10:54:29
SPECTROMETER/DATA SYSTEM	
LOCALE	1040
RESOLUTION	
DELTAX	-2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	 2400.0000
LASTX	  500.0000
NPOINTS	     951
FIRSTY	     0.35752
MAXY	    10.00000
MINY	    -3.86639
XYDATA
1918.0000	0.478137
1916.0000	0.465633
1914.0000	0.456925
1912.0000	0.446622
1910.0000	0.437278
1908.0000	0.427348
1906.0000	0.421465
1904.0000	0.413788
1902.0000	0.40499
1900.0000	0.400878
1898.0000	0.396623
1896.0000	0.39192
1894.0000	0.3869
1892.0000	0.383279
1890.0000	0.37967
1888.0000	0.376334
1886.0000	0.372678
1884.0000	0.367555
1882.0000	0.365583
1880.0000	0.363113
1878.0000	0.360715
1876.0000	0.357453
1874.0000	0.358182
1872.0000	0.352983
1870.0000	0.352494
1868.0000	0.350154
1866.0000	0.348864
1864.0000	0.348157
1862.0000	0.345998
1860.0000	0.345278
1858.0000	0.344925
1856.0000	0.343372
1854.0000	0.34369
1852.0000	0.342682
1850.0000	0.342126
1848.0000	0.341854
1846.0000	0.342713
1844.0000	0.342587
1842.0000	0.342819
1840.0000	0.344889
1838.0000	0.344698
1836.0000	0.344992
1834.0000	0.346252
1832.0000	0.346483
1830.0000	0.348
1828.0000	0.349503
1826.0000	0.351938
1824.0000	0.353227
1822.0000	0.355254
1820.0000	0.356928
1818.0000	0.359797
1816.0000	0.362936
1814.0000	0.364482
1812.0000	0.366198
1810.0000	0.370527
1808.0000	0.373452
1806.0000	0.373962
1804.0000	0.379078
1802.0000	0.381966
1800.0000	0.385361
1798.0000	0.38887
1796.0000	0.393285
1794.0000	0.397598
1792.0000	0.402106
1790.0000	0.406171
1788.0000	0.409813
1786.0000	0.415184
1784.0000	0.419063
1782.0000	0.423835
1780.0000	0.430022
1778.0000	0.441608
1776.0000	0.447123
1774.0000	0.460339
1772.0000	0.46188
1770.0000	0.476981
1768.0000	0.459436
1766.0000	0.464992
1764.0000	0.475315
1762.0000	0.481298
1760.0000	0.48741
1758.0000	0.51396
1756.0000	0.502344
1754.0000	0.520043
1752.0000	0.524632
1750.0000	0.552989
1748.0000	0.543688
1746.0000	0.544651
1744.0000	0.562579
1742.0000	0.578119
1740.0000	0.588299
1738.0000	0.571864
1736.0000	0.608269
1734.0000	0.604768
1732.0000	0.6027
1730.0000	0.639731
1728.0000	0.663212
1726.0000	0.65739
1724.0000	0.654518
1722.0000	0.667776
1720.0000	0.669321
1718.0000	0.693907
1716.0000	0.702344
1714.0000	0.725408
1712.0000	0.748975
1710.0000	0.792655
1708.0000	0.754962
