TITLE,280s - 183nm - n
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/11/14
TIME,15:16:38
SPECTROMETER/DATA SYSTEM,
LOCALE,1040
RESOLUTION,
DELTAX,-0.5
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX, 2300.0000
LASTX,  900.0000
NPOINTS,    2801
FIRSTY,     5.10183
MAXY,    10.00000
MINY,    -4.45458
XYDATA
2165.0000,5.00527
2164.5000,4.96798
2164.0000,4.87963
2163.5000,-2.24308
2163.0000,10
2162.5000,5.04022
2162.0000,10
2161.5000,10
2161.0000,2.63293
2160.5000,10
2160.0000,-2.4846
2159.5000,-1.6695
2159.0000,10
2158.5000,10
2158.0000,4.6954
2157.5000,10
2157.0000,10
2156.5000,5.00698
2156.0000,-2.53392
2155.5000,10
2155.0000,-2.72388
2154.5000,5.03144
2154.0000,5.25631
2153.5000,-2.36708
2153.0000,10
2152.5000,2.97066
2152.0000,2.54461
2151.5000,2.9709
2151.0000,-2.0697
2150.5000,10
2150.0000,10
2149.5000,4.60851
2149.0000,-0.0151605
2148.5000,-1.87668
2148.0000,-2.08278
2147.5000,10
2147.0000,-2.29388
2146.5000,10
2146.0000,3.06897
2145.5000,0.48791
2145.0000,4.76798
2144.5000,3.09894
2144.0000,2.67197
2143.5000,3.19046
2143.0000,10
2142.5000,3.67715
2142.0000,10
2141.5000,10
2141.0000,-0.250843
2140.5000,4.95581
2140.0000,10
2139.5000,10
2139.0000,4.62898
2138.5000,5.07791
2138.0000,10
2137.5000,10
2137.0000,-0.570828
2136.5000,-2.23627
2136.0000,10
2135.5000,4.8981
2135.0000,4.61388
2134.5000,3.17652
2134.0000,10
2133.5000,5.05648
2133.0000,10
2132.5000,3.04325
2132.0000,-1.39374
2131.5000,2.72296
2131.0000,0.0535442
2130.5000,-0.000957366
2130.0000,-0.186102
2129.5000,-0.00327806
2129.0000,0.0885905
2128.5000,0.0159686
2128.0000,0.0405579
2127.5000,0.0047099
2127.0000,0.00169373
2126.5000,-0.0144872
2126.0000,0.00877578
2125.5000,-0.0351301
2125.0000,-0.00253819
2124.5000,-0.0154365
2124.0000,0.0183136
2123.5000,-0.00524251
2123.0000,0.037069
2122.5000,0.0115682
2122.0000,-0.011331
2121.5000,0.0133361
2121.0000,0.000841212
2120.5000,0.0231619
2120.0000,-0.00778058
2119.5000,-0.00307012
2119.0000,0.026093
2118.5000,0.0128029
2118.0000,-0.0014167
2117.5000,-0.0144894
2117.0000,0.00121432
2116.5000,0.01679
2116.0000,0.0130617
2115.5000,0.0203561
2115.0000,-0.00291211
2114.5000,0.0154577
2114.0000,0.0176163
2113.5000,0.0293335
2113.0000,0.0121709
2112.5000,0.0137303
2112.0000,0.00958831
2111.5000,0.0124673
2111.0000,0.0149066
2110.5000,0.0127815
2110.0000,0.0125361
2109.5000,0.0166117
2109.0000,0.0250244
2108.5000,0.0202008
2108.0000,0.0276721
2107.5000,0.0277495
2107.0000,0.0117317
2106.5000,0.0271269
2106.0000,0.0283706
2105.5000,0.0195764
2105.0000,0.0241119
2104.5000,0.028336
2104.0000,0.0199096
2103.5000,0.0318275
2103.0000,0.0366516
2102.5000,0.0280818
2102.0000,0.0384816
2101.5000,0.0325959
2101.0000,0.0359856
2100.5000,0.0310051
2100.0000,0.0356279
2099.5000,0.0332637
2099.0000,0.0384869
2098.5000,0.0273253
2098.0000,0.0362305
2097.5000,0.0366297
2097.0000,0.0467233
2096.5000,0.0419772
2096.0000,0.0442747
2095.5000,0.0408515
2095.0000,0.0354576
2094.5000,0.0445475
2094.0000,0.0462463
2093.5000,0.0512171
2093.0000,0.0446618
2092.5000,0.0508862
2092.0000,0.0472741
2091.5000,0.0484149
2091.0000,0.0556638
2090.5000,0.0496609
2090.0000,0.0503316
2089.5000,0.0504234
2089.0000,0.0612366
2088.5000,0.0644456
2088.0000,0.0596748
2087.5000,0.0596133
2087.0000,0.0643957
2086.5000,0.0621202
2086.0000,0.062265
2085.5000,0.0683044
2085.0000,0.0680029
2084.5000,0.0661108
2084.0000,0.0681841
2083.5000,0.0708107
2083.0000,0.0757835
2082.5000,0.0713388
2082.0000,0.0793877
2081.5000,0.0761025
2081.0000,0.0796046
2080.5000,0.0789823
2080.0000,0.0860245
2079.5000,0.0870476
2079.0000,0.0829349
2078.5000,0.0842896
2078.0000,0.0849281
2077.5000,0.0881843
2077.0000,0.0922597
