TITLE	280s - 183nm - n
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/13
TIME	18:35:19
SPECTROMETER/DATA SYSTEM	
LOCALE	1040
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	 2500.0000
LASTX	  900.0000
NPOINTS	    3201
FIRSTY	    -2.84036
MAXY	    10.00000
MINY	    -4.40055
XYDATA
2351.5000	10
2351.0000	0.5028
2350.5000	0.645328
2350.0000	10
2349.5000	10
2349.0000	-0.092063
2348.5000	10
2348.0000	10
2347.5000	10
2347.0000	10
2346.5000	10
2346.0000	10
2345.5000	10
2345.0000	10
2344.5000	10
2344.0000	10
2343.5000	10
2343.0000	-0.850528
2342.5000	-3.32998
2342.0000	-3.31707
2341.5000	-0.630753
2341.0000	-0.575323
2340.5000	-0.357059
2340.0000	10
2339.5000	10
2339.0000	-3.37537
2338.5000	10
2338.0000	10
2337.5000	10
2337.0000	0.158394
2336.5000	-0.154339
2336.0000	0.0903447
2335.5000	0.146918
2335.0000	-0.0627753
2334.5000	10
2334.0000	10
2333.5000	10
2333.0000	10
2332.5000	10
2332.0000	10
2331.5000	10
2331.0000	10
2330.5000	10
2330.0000	10
2329.5000	10
2329.0000	10
2328.5000	10
2328.0000	10
2327.5000	-0.191571
2327.0000	10
2326.5000	10
2326.0000	1.38513
2325.5000	10
2325.0000	0.156794
2324.5000	10
2324.0000	0.0912753
2323.5000	-0.0171175
2323.0000	-0.103896
2322.5000	-0.126949
2322.0000	-0.070063
2321.5000	-0.105449
2321.0000	-0.0537873
2320.5000	0.00626044
2320.0000	0.1125
2319.5000	10
2319.0000	0.367508
2318.5000	10
2318.0000	10
2317.5000	10
2317.0000	0.519751
2316.5000	10
2316.0000	10
2315.5000	0.166587
2315.0000	0.131842
2314.5000	0.0228565
2314.0000	0.306829
2313.5000	-0.253023
2313.0000	-0.244663
2312.5000	-0.213335
2312.0000	-0.577822
2311.5000	-3.49491
2311.0000	-3.35431
2310.5000	10
2310.0000	10
2309.5000	10
2309.0000	10
2308.5000	0.926113
2308.0000	-0.198969
2307.5000	-0.0948339
2307.0000	-0.0396722
2306.5000	-0.149669
2306.0000	-0.365119
2305.5000	-0.324091
2305.0000	-0.119802
2304.5000	-0.157739
2304.0000	-0.119889
2303.5000	-0.329485
2303.0000	10
2302.5000	10
2302.0000	10
2301.5000	10
2301.0000	10
2300.5000	10
2300.0000	10
2299.5000	10
2299.0000	10
2298.5000	10
2298.0000	0.245358
2297.5000	-1.02524
2297.0000	0.0336359
2296.5000	0.281304
2296.0000	0.0490474
2295.5000	0.26732
2295.0000	-0.158781
2294.5000	10
2294.0000	-3.29228
2293.5000	-0.478759
2293.0000	-0.274439
2292.5000	-0.337167
2292.0000	-0.349174
2291.5000	0.0861745
2291.0000	-0.0944069
2290.5000	-0.0873341
2290.0000	10
2289.5000	10
2289.0000	10
2288.5000	10
2288.0000	0.102319
2287.5000	0.121628
2287.0000	-0.0778711
2286.5000	-0.0216179
2286.0000	-0.0239481
2285.5000	0.0122459
2285.0000	0.57123
2284.5000	0.300521
2284.0000	0.118666
2283.5000	0.0314242
2283.0000	-0.624771
2282.5000	-4.09539
2282.0000	-0.492322
2281.5000	-0.748586
2281.0000	-1.68474
2280.5000	-0.543616
2280.0000	-0.355828
2279.5000	-0.481289
2279.0000	-0.688266
2278.5000	-0.44478
2278.0000	-0.423483
2277.5000	-0.127922
2277.0000	10
2276.5000	10
2276.0000	10
2275.5000	10
2275.0000	10
2274.5000	10
2274.0000	-0.235187
2273.5000	10
2273.0000	10
2272.5000	0.337702
2272.0000	0.480454
2271.5000	0.103729
2271.0000	0.118939
2270.5000	-0.216643
2270.0000	-0.31054
2269.5000	10
2269.0000	-0.325693
2268.5000	-0.198918
2268.0000	10
2267.5000	10
2267.0000	-0.576788
2266.5000	-1.7701
2266.0000	-0.34508
2265.5000	-0.295689
2265.0000	-1.04794
2264.5000	10
2264.0000	-3.10811
2263.5000	10
2263.0000	10
2262.5000	10
2262.0000	10
2261.5000	0.407014
2261.0000	0.407891
2260.5000	0.0415741
2260.0000	-0.0974836
2259.5000	-0.182416
2259.0000	-0.405986
2258.5000	-0.678939
2258.0000	-4.23837
2257.5000	-4.07334
2257.0000	-3.26032
2256.5000	10
2256.0000	10
2255.5000	10
2255.0000	10
2254.5000	10
2254.0000	10
2253.5000	10
2253.0000	10
2252.5000	-3.84986
2252.0000	-4.17787
2251.5000	-4.10504
2251.0000	-1.50992
2250.5000	-0.54383
2250.0000	-0.183941
2249.5000	-0.0660581
2249.0000	-0.0129656
2248.5000	0.00204575
2248.0000	0.00234637
2247.5000	0.000250674
2247.0000	-0.00940597
2246.5000	-0.0451529
2246.0000	-0.0517183
2245.5000	-0.0265472
2245.0000	-0.00972068
2244.5000	-0.00365816
2244.0000	0.008614
2243.5000	0.0135568
2243.0000	0.000181384
2242.5000	0.0111998
2242.0000	-0.00120423
2241.5000	0.0023043
2241.0000	-0.0172009
2240.5000	-0.0165012
2240.0000	-0.0125977
2239.5000	-0.0303804
2239.0000	-0.0236554
2238.5000	-0.0355674
2238.0000	-0.0268912
2237.5000	-0.0322606
2237.0000	-0.0444355
2236.5000	-0.0278157
2236.0000	-0.0271478
2235.5000	-0.0192155
2235.0000	-0.0163176
2234.5000	-0.0276873
2234.0000	-0.017766
2233.5000	-0.0177572
2233.0000	-0.0173105
2232.5000	-0.0196616
2232.0000	-0.0190983
2231.5000	-0.0231184
2231.0000	-0.0156708
2230.5000	-0.0228334
2230.0000	-0.018452
2229.5000	-0.0150346
2229.0000	-0.0195657
2228.5000	-0.00987684
2228.0000	-0.00809786
2227.5000	-0.00774291
2227.0000	-0.0079712
2226.5000	-0.00995659
2226.0000	-0.0173904
2225.5000	-0.0127836
2225.0000	-0.0181468
2224.5000	-0.0267871
2224.0000	-0.0351362
2223.5000	-0.0316063
2223.0000	-0.0337741
2222.5000	-0.0395138
2222.0000	-0.0415547
2221.5000	-0.0324532
2221.0000	-0.022533
2220.5000	-0.0156267
2220.0000	-0.0165913
2219.5000	-0.00762868
2219.0000	-0.00832476
2218.5000	-0.00772039
2218.0000	-0.0140141
2217.5000	-0.0115237
2217.0000	-0.00569413
2216.5000	-0.00840349
2216.0000	-0.0147405
2215.5000	-0.0189915
2215.0000	-0.0234251
2214.5000	-0.024487
2214.0000	-0.0279918
2213.5000	-0.0256094
2213.0000	-0.0239922
2212.5000	-0.017278
2212.0000	-0.0161556
2211.5000	-0.00872212
2211.0000	-0.00661141
2210.5000	-0.0106703
2210.0000	-0.00498095
2209.5000	-0.00465112
2209.0000	-0.00482412
2208.5000	-0.0101371
2208.0000	-0.0174463
2207.5000	-0.0159937
2207.0000	-0.0152305
2206.5000	-0.0210099
2206.0000	-0.0259003
2205.5000	-0.0234745
2205.0000	-0.0137895
2204.5000	-0.0184478
2204.0000	-0.0156136
2203.5000	-0.0194309
2203.0000	-0.0102535
2202.5000	-0.015968
2202.0000	-0.0183486
2201.5000	-0.016876
2201.0000	-0.0143829
2200.5000	-0.0133153
2200.0000	-0.0133366
2199.5000	-0.0164042
2199.0000	-0.0194486
2198.5000	-0.0146199
2198.0000	-0.0163895
2197.5000	-0.0143611
2197.0000	-0.0347237
2196.5000	-0.0340022
2196.0000	-0.0144914
2195.5000	-0.0207762
2195.0000	-0.0411933
2194.5000	-0.0308999
2194.0000	-0.0306445
2193.5000	-0.0232075
2193.0000	-0.0702671
2192.5000	-0.0409174
2192.0000	-0.0167152
2191.5000	-0.0712194
2191.0000	0.0212909
2190.5000	0.0501268
2190.0000	-0.0228831
2189.5000	-0.0128554
2189.0000	-0.0228218
2188.5000	0.0300684
2188.0000	0.0952142
2187.5000	0.199831
2187.0000	0.123071
2186.5000	0.258367
2186.0000	0.232937
2185.5000	0.538065
2185.0000	10
2184.5000	0.624235
2184.0000	1.14146
2183.5000	0.758138
2183.0000	0.528107
2182.5000	0.315137
2182.0000	0.161589
2181.5000	0.141855
2181.0000	0.14943
2180.5000	0.14361
2180.0000	-0.183669
2179.5000	-0.193108
2179.0000	-0.0607003
2178.5000	-0.347443
2178.0000	-0.24958
2177.5000	-0.267128
2177.0000	-0.130873
2176.5000	-0.150662
2176.0000	-0.805605
2175.5000	-3.57799
2175.0000	-2.2962
2174.5000	10
2174.0000	-0.243381
2173.5000	10
2173.0000	0.119543
2172.5000	0.291647
2172.0000	0.0375285
2171.5000	-0.0178493
2171.0000	-0.163104
2170.5000	-0.0999412
2170.0000	-0.142437
2169.5000	-0.303256
2169.0000	-0.314929
2168.5000	-0.328841
2168.0000	-0.277789
2167.5000	-0.0549322
2167.0000	-0.064508
2166.5000	1.8413
2166.0000	0.306314
2165.5000	-0.0478789
2165.0000	-0.0203001
2164.5000	-0.0910214
2164.0000	0.00455211
2163.5000	0.0116964
2163.0000	-0.196848
2162.5000	-0.0538684
2162.0000	0.0434135
2161.5000	0.21209
2161.0000	0.170435
2160.5000	-0.228338
2160.0000	0.0325346
2159.5000	-0.0828649
2159.0000	0.312155
2158.5000	0.149791
2158.0000	-0.209202
2157.5000	-0.0893022
2157.0000	-0.0811862
2156.5000	-0.135446
2156.0000	-0.226669
2155.5000	-0.536494
2155.0000	-0.395908
2154.5000	-0.661716
2154.0000	-0.487155
2153.5000	-0.815317
2153.0000	-0.618455
2152.5000	-0.107507
2152.0000	-0.209696
2151.5000	-0.182005
2151.0000	-0.451517
2150.5000	-0.0182166
2150.0000	0.150572
2149.5000	0.415645
2149.0000	0.165239
2148.5000	0.160024
2148.0000	0.108991
2147.5000	0.155942
2147.0000	-0.0225096
2146.5000	-0.161257
